model,RMSE,MAE,R2,MAPE_percent,train_RMSE,train_R2,training_time_seconds
Random Forest,0.5044854736560561,0.32712401973379407,0.8057815557158154,18.854915917360106,0.19062880933946083,0.9728157276729277,102.82260036468506
Ridge,0.7455813582936548,0.53320012333683,0.5757877341612516,31.952186392977218,0.719675708583222,0.6125511913966257,3.297790050506592
